名称                         版本                              修订版本   追踪               发布者            注记
android-studio             2025.3.4.7-panda4-patch1        225    latest/stable    snapcrafters*  classic
bare                       1.0                             5      latest/stable    canonical**    base
core20                     20260410                        2866   latest/stable    canonical**    base
core22                     20260225                        2411   latest/stable    canonical**    base
core24                     20260410                        1643   latest/stable    canonical**    base
firefox                    151.0.2-1                       8387   latest/stable/…  mozilla**      -
gnome-42-2204              0+git.c1d3d69-sdk0+git.015db9a  247    latest/stable/…  canonical**    -
gnome-46-2404              0+git.f1cd5fa-sdk0+git.ca9c59c  153    latest/stable    canonical**    -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**    -
mesa-2404                  25.0.7-snap211                  1165   latest/stable    canonical**    -
snap-store                 41.3-72-g80e7130                1216   latest/stable/…  canonical**    -
snapd                      2.75.2                          26865  latest/stable    canonical**    snapd
snapd-desktop-integration  0.9                             343    latest/stable/…  canonical**    -
